data_id,node_id,kwh,location,timestamp,hour,day_of_week,month,pattern_type,anomaly
data_00000114,node_000000,0.52,"lat:29.5299,lon:-95.0288",1755158428,4,3,8,residential,False
data_00000115,node_000000,0.57,"lat:29.5299,lon:-95.0288",1755162028,5,3,8,residential,False
data_00000116,node_000000,0.415,"lat:29.5299,lon:-95.0288",1755165628,6,3,8,residential,False
data_00000117,node_000000,0.639,"lat:29.5299,lon:-95.0288",1755169228,7,3,8,residential,False
data_00000118,node_000000,0.728,"lat:29.5299,lon:-95.0288",1755172828,8,3,8,residential,False
data_00000119,node_000000,0.58,"lat:29.5299,lon:-95.0288",1755176428,9,3,8,residential,False
data_00000120,node_000000,0.545,"lat:29.5299,lon:-95.0288",1755180028,10,3,8,residential,False
data_00000121,node_000000,0.761,"lat:29.5299,lon:-95.0288",1755183628,11,3,8,residential,False
data_00000122,node_000000,0.594,"lat:29.5299,lon:-95.0288",1755187228,12,3,8,residential,False
data_00000123,node_000000,0.521,"lat:29.5299,lon:-95.0288",1755190828,13,3,8,residential,False
data_00000124,node_000000,0.761,"lat:29.5299,lon:-95.0288",1755194428,14,3,8,residential,False
data_00000125,node_000000,0.722,"lat:29.5299,lon:-95.0288",1755198028,15,3,8,residential,False
data_00000126,node_000000,0.519,"lat:29.5299,lon:-95.0288",1755201628,16,3,8,residential,False
data_00000127,node_000000,0.654,"lat:29.5299,lon:-95.0288",1755205228,17,3,8,residential,False
data_00000128,node_000000,3.555,"lat:29.5299,lon:-95.0288",1755208828,18,3,8,residential,False
data_00000129,node_000000,4.472,"lat:29.5299,lon:-95.0288",1755212428,19,3,8,residential,False
data_00000130,node_000000,3.413,"lat:29.5299,lon:-95.0288",1755216028,20,3,8,residential,False
data_00000131,node_000000,3.783,"lat:29.5299,lon:-95.0288",1755219628,21,3,8,residential,False
data_00000132,node_000000,0.717,"lat:29.5299,lon:-95.0288",1755223228,22,3,8,residential,False
data_00000133,node_000000,0.57,"lat:29.5299,lon:-95.0288",1755226828,23,3,8,residential,False
data_00000134,node_000000,0.395,"lat:29.5299,lon:-95.0288",1755230428,0,4,8,residential,False
data_00000135,node_000000,0.647,"lat:29.5299,lon:-95.0288",1755234028,1,4,8,residential,False
data_00000136,node_000000,0.434,"lat:29.5299,lon:-95.0288",1755237628,2,4,8,residential,False
data_00000137,node_000000,0.575,"lat:29.5299,lon:-95.0288",1755241228,3,4,8,residential,False
data_00000138,node_000000,0.607,"lat:29.5299,lon:-95.0288",1755244828,4,4,8,residential,False
data_00000139,node_000000,0.433,"lat:29.5299,lon:-95.0288",1755248428,5,4,8,residential,False
data_00000140,node_000000,0.52,"lat:29.5299,lon:-95.0288",1755252028,6,4,8,residential,False
data_00000141,node_000000,0.518,"lat:29.5299,lon:-95.0288",1755255628,7,4,8,residential,False
data_00000142,node_000000,0.51,"lat:29.5299,lon:-95.0288",1755259228,8,4,8,residential,False
data_00000143,node_000000,0.498,"lat:29.5299,lon:-95.0288",1755262828,9,4,8,residential,False
data_00000144,node_000000,0.64,"lat:29.5299,lon:-95.0288",1755266428,10,4,8,residential,False
data_00000145,node_000000,0.528,"lat:29.5299,lon:-95.0288",1755270028,11,4,8,residential,False
data_00000146,node_000000,0.511,"lat:29.5299,lon:-95.0288",1755273628,12,4,8,residential,False
data_00000147,node_000000,0.494,"lat:29.5299,lon:-95.0288",1755277228,13,4,8,residential,False
data_00000148,node_000000,0.577,"lat:29.5299,lon:-95.0288",1755280828,14,4,8,residential,False
data_00000149,node_000000,0.567,"lat:29.5299,lon:-95.0288",1755284428,15,4,8,residential,False
data_00000150,node_000000,0.517,"lat:29.5299,lon:-95.0288",1755288028,16,4,8,residential,False
data_00000151,node_000000,0.461,"lat:29.5299,lon:-95.0288",1755291628,17,4,8,residential,False
data_00000152,node_000000,4.89,"lat:29.5299,lon:-95.0288",1755295228,18,4,8,residential,False
data_00000153,node_000000,4.803,"lat:29.5299,lon:-95.0288",1755298828,19,4,8,residential,False
data_00000154,node_000000,4.814,"lat:29.5299,lon:-95.0288",1755302428,20,4,8,residential,False
data_00000155,node_000000,4.396,"lat:29.5299,lon:-95.0288",1755306028,21,4,8,residential,False
data_00000156,node_000000,0.419,"lat:29.5299,lon:-95.0288",1755309628,22,4,8,residential,False
data_00000157,node_000000,0.573,"lat:29.5299,lon:-95.0288",1755313228,23,4,8,residential,False
data_00000158,node_000000,0.727,"lat:29.5299,lon:-95.0288",1755316828,0,5,8,residential,False
data_00000159,node_000000,0.646,"lat:29.5299,lon:-95.0288",1755320428,1,5,8,residential,False
data_00000160,node_000000,0.622,"lat:29.5299,lon:-95.0288",1755324028,2,5,8,residential,False
data_00000161,node_000000,0.783,"lat:29.5299,lon:-95.0288",1755327628,3,5,8,residential,False
data_00000162,node_000000,0.818,"lat:29.5299,lon:-95.0288",1755331228,4,5,8,residential,False
data_00000163,node_000000,0.7,"lat:29.5299,lon:-95.0288",1755334828,5,5,8,residential,False
data_00000164,node_000000,0.776,"lat:29.5299,lon:-95.0288",1755338428,6,5,8,residential,False
data_00000165,node_000000,0.596,"lat:29.5299,lon:-95.0288",1755342028,7,5,8,residential,False
data_00000166,node_000000,0.605,"lat:29.5299,lon:-95.0288",1755345628,8,5,8,residential,False
data_00000167,node_000000,0.572,"lat:29.5299,lon:-95.0288",1755349228,9,5,8,residential,False
data_00000168,node_000001,0.499,"lat:33.7481,lon:-118.2239",1754748028,10,5,8,residential,False
data_00000169,node_000001,0.554,"lat:33.7481,lon:-118.2239",1754751628,11,5,8,residential,False
data_00000170,node_000001,0.54,"lat:33.7481,lon:-118.2239",1754755228,12,5,8,residential,False
data_00000171,node_000001,0.55,"lat:33.7481,lon:-118.2239",1754758828,13,5,8,residential,False
data_00000172,node_000001,0.655,"lat:33.7481,lon:-118.2239",1754762428,14,5,8,residential,False
data_00000173,node_000001,0.589,"lat:33.7481,lon:-118.2239",1754766028,15,5,8,residential,False
data_00000174,node_000001,0.522,"lat:33.7481,lon:-118.2239",1754769628,16,5,8,residential,False
data_00000175,node_000001,0.488,"lat:33.7481,lon:-118.2239",1754773228,17,5,8,residential,False
data_00000176,node_000001,3.357,"lat:33.7481,lon:-118.2239",1754776828,18,5,8,residential,False
data_00000177,node_000001,3.224,"lat:33.7481,lon:-118.2239",1754780428,19,5,8,residential,False
data_00000178,node_000001,3.775,"lat:33.7481,lon:-118.2239",1754784028,20,5,8,residential,False
data_00000179,node_000001,3.507,"lat:33.7481,lon:-118.2239",1754787628,21,5,8,residential,False
data_00000180,node_000001,0.63,"lat:33.7481,lon:-118.2239",1754791228,22,5,8,residential,False
data_00000181,node_000001,0.556,"lat:33.7481,lon:-118.2239",1754794828,23,5,8,residential,False
data_00000182,node_000001,0.559,"lat:33.7481,lon:-118.2239",1754798428,0,6,8,residential,False
data_00000183,node_000001,0.475,"lat:33.7481,lon:-118.2239",1754802028,1,6,8,residential,False
data_00000184,node_000001,0.638,"lat:33.7481,lon:-118.2239",1754805628,2,6,8,residential,False
data_00000185,node_000001,0.5,"lat:33.7481,lon:-118.2239",1754809228,3,6,8,residential,False
data_00000186,node_000001,0.563,"lat:33.7481,lon:-118.2239",1754812828,4,6,8,residential,False
data_00000187,node_000001,0.598,"lat:33.7481,lon:-118.2239",1754816428,5,6,8,residential,False
data_00000188,node_000001,0.602,"lat:33.7481,lon:-118.2239",1754820028,6,6,8,residential,False
data_00000189,node_000001,0.633,"lat:33.7481,lon:-118.2239",1754823628,7,6,8,residential,False
data_00000190,node_000001,0.436,"lat:33.7481,lon:-118.2239",1754827228,8,6,8,residential,False
data_00000191,node_000001,0.578,"lat:33.7481,lon:-118.2239",1754830828,9,6,8,residential,False
data_00000192,node_000001,0.52,"lat:33.7481,lon:-118.2239",1754834428,10,6,8,residential,False
data_00000193,node_000001,0.535,"lat:33.7481,lon:-118.2239",1754838028,11,6,8,residential,False
data_00000194,node_000001,0.614,"lat:33.7481,lon:-118.2239",1754841628,12,6,8,residential,False
data_00000195,node_000001,0.635,"lat:33.7481,lon:-118.2239",1754845228,13,6,8,residential,False
data_00000196,node_000001,0.5,"lat:33.7481,lon:-118.2239",1754848828,14,6,8,residential,False
data_00000197,node_000001,0.727,"lat:33.7481,lon:-118.2239",1754852428,15,6,8,residential,False
data_00000198,node_000001,0.469,"lat:33.7481,lon:-118.2239",1754856028,16,6,8,residential,False
data_00000199,node_000001,0.574,"lat:33.7481,lon:-118.2239",1754859628,17,6,8,residential,False
data_00000200,node_000001,4.721,"lat:33.7481,lon:-118.2239",1754863228,18,6,8,residential,False
data_00000201,node_000001,3.528,"lat:33.7481,lon:-118.2239",1754866828,19,6,8,residential,False
data_00000202,node_000001,3.979,"lat:33.7481,lon:-118.2239",1754870428,20,6,8,residential,False
data_00000203,node_000001,3.644,"lat:33.7481,lon:-118.2239",1754874028,21,6,8,residential,False
data_00000204,node_000001,0.602,"lat:33.7481,lon:-118.2239",1754877628,22,6,8,residential,False
data_00000205,node_000001,0.632,"lat:33.7481,lon:-118.2239",1754881228,23,6,8,residential,False
data_00000206,node_000001,0.4,"lat:33.7481,lon:-118.2239",1754884828,0,0,8,residential,False
data_00000207,node_000001,0.525,"lat:33.7481,lon:-118.2239",1754888428,1,0,8,residential,False
data_00000208,node_000001,0.395,"lat:33.7481,lon:-118.2239",1754892028,2,0,8,residential,False
data_00000209,node_000001,0.572,"lat:33.7481,lon:-118.2239",1754895628,3,0,8,residential,False
data_00000210,node_000001,0.428,"lat:33.7481,lon:-118.2239",1754899228,4,0,8,residential,False
data_00000211,node_000001,0.466,"lat:33.7481,lon:-118.2239",1754902828,5,0,8,residential,False
data_00000212,node_000001,0.518,"lat:33.7481,lon:-118.2239",1754906428,6,0,8,residential,False
data_00000213,node_000001,0.529,"lat:33.7481,lon:-118.2239",1754910028,7,0,8,residential,False
data_00000214,node_000001,0.566,"lat:33.7481,lon:-118.2239",1754913628,8,0,8,residential,False
data_00000215,node_000001,0.48,"lat:33.7481,lon:-118.2239",1754917228,9,0,8,residential,False
data_00000216,node_000001,0.437,"lat:33.7481,lon:-118.2239",1754920828,10,0,8,residential,False
data_00000217,node_000001,0.464,"lat:33.7481,lon:-118.2239",1754924428,11,0,8,residential,False
data_00000218,node_000001,0.493,"lat:33.7481,lon:-118.2239",1754928028,12,0,8,residential,False
data_00000219,node_000001,0.393,"lat:33.7481,lon:-118.2239",1754931628,13,0,8,residential,False
data_00000220,node_000001,0.458,"lat:33.7481,lon:-118.2239",1754935228,14,0,8,residential,False
data_00000221,node_000001,0.342,"lat:33.7481,lon:-118.2239",1754938828,15,0,8,residential,False
data_00000222,node_000001,0.4,"lat:33.7481,lon:-118.2239",1754942428,16,0,8,residential,False
data_00000223,node_000001,0.481,"lat:33.7481,lon:-118.2239",1754946028,17,0,8,residential,False
data_00000224,node_000001,3.195,"lat:33.7481,lon:-118.2239",1754949628,18,0,8,residential,False
data_00000225,node_000001,2.669,"lat:33.7481,lon:-118.2239",1754953228,19,0,8,residential,False
data_00000226,node_000001,3.358,"lat:33.7481,lon:-118.2239",1754956828,20,0,8,residential,False
data_00000227,node_000001,4.047,"lat:33.7481,lon:-118.2239",1754960428,21,0,8,residential,False
data_00000228,node_000001,0.428,"lat:33.7481,lon:-118.2239",1754964028,22,0,8,residential,False
data_00000229,node_000001,0.573,"lat:33.7481,lon:-118.2239",1754967628,23,0,8,residential,False
data_00000230,node_000001,0.343,"lat:33.7481,lon:-118.2239",1754971228,0,1,8,residential,False
data_00000231,node_000001,0.477,"lat:33.7481,lon:-118.2239",1754974828,1,1,8,residential,False
data_00000232,node_000001,0.403,"lat:33.7481,lon:-118.2239",1754978428,2,1,8,residential,False
data_00000233,node_000001,0.459,"lat:33.7481,lon:-118.2239",1754982028,3,1,8,residential,False
data_00000234,node_000001,0.487,"lat:33.7481,lon:-118.2239",1754985628,4,1,8,residential,False
data_00000235,node_000001,0.446,"lat:33.7481,lon:-118.2239",1754989228,5,1,8,residential,False
data_00000236,node_000001,0.331,"lat:33.7481,lon:-118.2239",1754992828,6,1,8,residential,False
data_00000237,node_000001,0.426,"lat:33.7481,lon:-118.2239",1754996428,7,1,8,residential,False
data_00000238,node_000001,0.482,"lat:33.7481,lon:-118.2239",1755000028,8,1,8,residential,False
data_00000239,node_000001,0.443,"lat:33.7481,lon:-118.2239",1755003628,9,1,8,residential,False
data_00000240,node_000001,0.482,"lat:33.7481,lon:-118.2239",1755007228,10,1,8,residential,False
data_00000241,node_000001,0.1,"lat:33.7481,lon:-118.2239",1755010828,11,1,8,residential,True
data_00000242,node_000001,0.52,"lat:33.7481,lon:-118.2239",1755014428,12,1,8,residential,False
data_00000243,node_000001,0.4,"lat:33.7481,lon:-118.2239",1755018028,13,1,8,residential,False
data_00000244,node_000001,0.583,"lat:33.7481,lon:-118.2239",1755021628,14,1,8,residential,False
data_00000245,node_000001,0.427,"lat:33.7481,lon:-118.2239",1755025228,15,1,8,residential,False
data_00000246,node_000001,0.491,"lat:33.7481,lon:-118.2239",1755028828,16,1,8,residential,False
data_00000247,node_000001,0.405,"lat:33.7481,lon:-118.2239",1755032428,17,1,8,residential,False
data_00000248,node_000001,3.058,"lat:33.7481,lon:-118.2239",1755036028,18,1,8,residential,False
data_00000249,node_000001,2.916,"lat:33.7481,lon:-118.2239",1755039628,19,1,8,residential,False
data_00000250,node_000001,2.608,"lat:33.7481,lon:-118.2239",1755043228,20,1,8,residential,False
data_00000251,node_000001,2.949,"lat:33.7481,lon:-118.2239",1755046828,21,1,8,residential,False
data_00000252,node_000001,0.403,"lat:33.7481,lon:-118.2239",1755050428,22,1,8,residential,False
data_00000253,node_000001,0.361,"lat:33.7481,lon:-118.2239",1755054028,23,1,8,residential,False
data_00000254,node_000001,0.372,"lat:33.7481,lon:-118.2239",1755057628,0,2,8,residential,False
data_00000255,node_000001,0.488,"lat:33.7481,lon:-118.2239",1755061228,1,2,8,residential,False
data_00000256,node_000001,0.493,"lat:33.7481,lon:-118.2239",1755064828,2,2,8,residential,False
data_00000257,node_000001,0.528,"lat:33.7481,lon:-118.2239",1755068428,3,2,8,residential,False
data_00000258,node_000001,0.487,"lat:33.7481,lon:-118.2239",1755072028,4,2,8,residential,False
data_00000259,node_000001,0.503,"lat:33.7481,lon:-118.2239",1755075628,5,2,8,residential,False
data_00000260,node_000001,0.531,"lat:33.7481,lon:-118.2239",1755079228,6,2,8,residential,False
data_00000261,node_000001,0.46,"lat:33.7481,lon:-118.2239",1755082828,7,2,8,residential,False
data_00000262,node_000001,0.419,"lat:33.7481,lon:-118.2239",1755086428,8,2,8,residential,False
data_00000263,node_000001,0.506,"lat:33.7481,lon:-118.2239",1755090028,9,2,8,residential,False
data_00000264,node_000001,0.491,"lat:33.7481,lon:-118.2239",1755093628,10,2,8,residential,False
data_00000265,node_000001,0.403,"lat:33.7481,lon:-118.2239",1755097228,11,2,8,residential,False
data_00000266,node_000001,0.445,"lat:33.7481,lon:-118.2239",1755100828,12,2,8,residential,False
data_00000267,node_000001,0.471,"lat:33.7481,lon:-118.2239",1755104428,13,2,8,residential,False
data_00000268,node_000001,0.51,"lat:33.7481,lon:-118.2239",1755108028,14,2,8,residential,False
data_00000269,node_000001,0.564,"lat:33.7481,lon:-118.2239",1755111628,15,2,8,residential,False
data_00000270,node_000001,0.455,"lat:33.7481,lon:-118.2239",1755115228,16,2,8,residential,False
data_00000271,node_000001,0.433,"lat:33.7481,lon:-118.2239",1755118828,17,2,8,residential,False
data_00000272,node_000001,2.606,"lat:33.7481,lon:-118.2239",1755122428,18,2,8,residential,False
data_00000273,node_000001,3.278,"lat:33.7481,lon:-118.2239",1755126028,19,2,8,residential,False
data_00000274,node_000001,3.039,"lat:33.7481,lon:-118.2239",1755129628,20,2,8,residential,False
data_00000275,node_000001,3.161,"lat:33.7481,lon:-118.2239",1755133228,21,2,8,residential,False
data_00000276,node_000001,0.502,"lat:33.7481,lon:-118.2239",1755136828,22,2,8,residential,False
data_00000277,node_000001,0.404,"lat:33.7481,lon:-118.2239",1755140428,23,2,8,residential,False
data_00000278,node_000001,0.474,"lat:33.7481,lon:-118.2239",1755144028,0,3,8,residential,False
data_00000279,node_000001,0.566,"lat:33.7481,lon:-118.2239",1755147628,1,3,8,residential,False
data_00000280,node_000001,0.445,"lat:33.7481,lon:-118.2239",1755151228,2,3,8,residential,False
data_00000281,node_000001,0.546,"lat:33.7481,lon:-118.2239",1755154828,3,3,8,residential,False
data_00000282,node_000001,0.453,"lat:33.7481,lon:-118.2239",1755158428,4,3,8,residential,False
data_00000283,node_000001,0.569,"lat:33.7481,lon:-118.2239",1755162028,5,3,8,residential,False
